985.19,1610.4,2137.5,2063.7,674.46,2024.9,1243.8,1881.7
985.24,1604.9,2118.6,2038.4,671.12,2015.9,1234.1,1863.7
985.11,1596,2099.8,2014.6,667.41,2005.9,1225,1847.6
982.32,1587.3,2081.5,1988.8,664.34,1993.4,1216.9,1832.9
980.31,1577.9,2063.5,1964.8,659.77,1981,1207.9,1817.2
977.83,1567.5,2047.9,1942,656.99,1965.5,1200.8,1800.5
974.12,1556.7,2033.2,1919.9,654.01,1950.7,1193.6,1785.5
969.47,1545.3,2017.8,1898.7,650.23,1937.8,1185.3,1771.8
965.09,1534,2005.1,1879,646.12,1922,1178.6,1757.8
958.64,1523,1991.4,1859.8,642.59,1906.2,1173,1744.2
953.95,1512.1,1980.5,1842.2,636.75,1893.1,1164.7,1732.1
948.58,1500.8,1968.4,1824.4,632.18,1879.5,1159.3,1720.1
943.32,1490.9,1957.3,1807.3,627.21,1867.4,1152.8,1707.2
936.57,1480.7,1946.7,1791.6,622.67,1852.9,1148.8,1697.4
930.53,1469.7,1938,1776.8,620.23,1839,1141.4,1686.5
923.87,1460.3,1929.1,1761.8,615.14,1826.9,1136.6,1677.6
918.01,1450.6,1920,1748.6,610.68,1813.9,1132.2,1667.3
911.59,1441.3,1911.6,1735.3,606.23,1802.1,1126.6,1658.4
906.43,1434,1904,1722.1,601.55,1789.4,1121.9,1647.1
900.64,1424.9,1896.8,1710.4,597.55,1778.4,1117.6,1640.3
896.45,1415.9,1890,1697.6,592.85,1768.1,1113.5,1631.1
889.83,1408.3,1884,1687.5,588.1,1757.7,1108.2,1623.4
885.04,1400.7,1876.8,1676.3,582.79,1746.6,1105.1,1616.7
886.49,1392.7,1871.4,1666.1,578.82,1736.2,1101.3,1607.7
953.67,1385.8,1865.8,1655.9,575.56,1726.8,1096.6,1601.9
1184.1,1378.5,1859.4,1647.1,570.34,1716.9,1093.7,1593.3
1594.7,1371.9,1853.9,1638,566.16,1708.2,1089.7,1585.8
1946.5,1365.2,1847.9,1629.4,562.45,1698.3,1087.2,1579.9
2193.8,1358.5,1844,1620.8,558.82,1690.4,1082.1,1572.6
2362.7,1352.5,1838.1,1612.4,554.29,1681.7,1078.7,1566.5
2474.9,1346.7,1834.3,1604.8,549.57,1673.4,1074.2,1560.9
